pregunta,a,b,c,d,correcta,materia,tema
"La Gran Depresión generó masivo desempleo, lo que llevó a muchos gobiernos a adoptar políticas:","A) De libre comercio absoluto","B) Proteccionistas y de intervención estatal en la economía","C) De expansión colonial renovada","D) De desregulación financiera",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"El 'Corporativismo' fue una característica del fascismo italiano que consistía en:","A) La abolición de la propiedad privada","B) La organización de la sociedad en corporaciones controladas por el Estado","C) La libre competencia entre sindicatos","D) La autonomía de las regiones",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"La 'SS' (Schutzstaffel) en la Alemania nazi comenzó como guardia personal de Hitler y se convirtió en:","A) Un cuerpo diplomático","B) Una organización militar, policial y de terror con vasto poder","C) Un sindicato obrero","D) Un partido político rival",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Los 'campos de concentración' nazis, establecidos desde 1933, inicialmente albergaron a:","A) Prisioneros de guerra de Polonia","B) Opositores políticos, comunistas, sindicalistas y personas consideradas 'asociales'","C) Exclusivamente a poblaciones de Europa del Este","D) Criminales comunes exclusivamente",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Las 'purgas' o 'Gran Terror' de Stalin en la década de 1930 tenían como objetivo:","A) Eliminar la corrupción administrativa","B) Esterilizar a personas con discapacidad","C) Eliminar a rivales políticos reales o potenciales dentro del partido y la sociedad","D) Expropiar a la burguesía",C,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"El 'Pacto de Acero' de 1939 fue una alianza militar entre:","A) Alemania e Italia","B) Alemania y Japón","C) Italia y la URSS","D) Gran Bretaña y Francia",A,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"La táctica militar alemana de 'Blitzkrieg' (guerra relámpago) se basaba en:","A) El uso masivo de infantería en trincheras","B) Ataques rápidos y coordinados con aviones, tanques e infantería motorizada","C) El bloqueo naval del enemigo","D) La guerra de guerrillas",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"La 'Batalla de Inglaterra' (1940) fue un intento alemán por lograr la superioridad aérea necesaria para:","A) Invadir las Islas Británicas","B) Atacar la Unión Soviética","C) Proteger sus ciudades de bombardeos","D) Destruir la flota británica",A,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"La 'Solución Final' puesta en práctica por el régimen nazi fue el plan sistemático para:","A) Invadir la Unión Soviética","B) Desarrollar la bomba atómica","C) El asesinato en masa de judíos, romaníes, eslavos, disidentes políticos y otros grupos","D) Reubicar a la población alemana en el este",C,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Los guetos, como el de Varsovia, fueron áreas urbanas aisladas donde los nazis confinaron principalmente a:","A) Prisioneros de guerra soviéticos","B) Población judía, antes de su deportación a campos de exterminio","C) Opositores políticos alemanes","D) Población civil de los países ocupados",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"La Conferencia de Wannsee (1942) es infame por ser la reunión donde altos oficiales nazis:","A) Planearon la invasión de Polonia","B) Coordinaron los detalles logísticos de la 'Solución Final'","C) Decidieron rendirse a los aliados","D) Firmaron el pacto con Italia",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"La 'batalla de El Alamein' (1942) fue significativa porque:","A) Marcó la primera derrota importante de Alemania en el frente occidental","B) Detuvo el avance del Eje en el norte de África","C) Supuso la entrada de Italia en la guerra","D) Fue la primera batalla con uso masivo de tanques",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"El 'Día D' (6 de junio de 1944) fue la operación de desembarco anfibio aliado en:","A) Sicilia","B) Normandía","C) Dunkerque","D) Calais",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"La rendición incondicional de Alemania se firmó el 8 de mayo de 1945, fecha conocida como:","A) Día D","B) Día V-E (Victoria en Europa)","C) Día V-J (Victoria sobre Japón)","D) Día del Armisticio",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"La 'Declaración de Potsdam' (julio de 1945) exigía a Japón:","A) Una rendición incondicional","B) Negociar una paz separada con la URSS","C) Mantener su emperador sin condiciones","D) Ceder solo Corea",A,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"El 'Plan Morgenthau', aunque no se aplicó totalmente, proponía para la Alemania de posguerra:","A) Su división permanente en más de diez estados","B) Su conversión en un país principalmente agrícola y pastoral","C) Su anexión completa por Francia","D) Su inmediata reunificación",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"La creación de la República Federal de Alemania (Occidental) y la República Democrática Alemana (Oriental) en 1949 ejemplificó:","A) La aplicación del Plan Marshall","B) La división de Europa en esferas de influencia de la Guerra Fría","C) Un acuerdo unánime entre las potencias vencedoras","D) El renacimiento del nacionalismo alemán",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Los bloques de poder"
"La 'Doctrina de la Contención', articulada por George F. Kennan, argumentaba que EE.UU. debía:","A) Invadir la URSS preventivamente","B) Contener la expansión del comunismo mediante presión política, económica y militar","C) Aislarse de los asuntos europeos","D) Promover la coexistencia pacífica sin condiciones",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"El 'Plan Molotov' fue la respuesta soviética al Plan Marshall y consistió en:","A) Ayuda económica para los países de Europa Occidental","B) Un sistema de alianza militar con China","C) Acuerdos comerciales bilaterales para integrar a los países de Europa del Este en la órbita soviética","D) Un programa de desarme nuclear",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"El 'Bloqueo de Berlín' (1948-49) fue una respuesta soviética a:","A) La formación de la OTAN","B) La introducción de una nueva moneda en las zonas occidentales de Alemania","C) El desembarco en Normandía","D) La creación de la República Federal Alemana",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La 'Cortina de Acero' era un término que describía:","A) Una nueva tecnología de tanques","B) La frontera ideológica y física que dividía a Europa capitalista de la comunista","C) El sistema de defensa aérea soviético","D) El acuerdo comercial del Comecón",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La 'Guerra de Corea' estalló cuando:","A) Corea del Sur invadió Corea del Norte","B) Tropas de Corea del Norte cruzaron el paralelo 38 para invadir el Sur","C) China invadió la península coreana","D) Japón recuperó su antiguo control sobre Corea",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"El 'Muro de Berlín', construido en 1961, tenía el propósito oficial de:","A) Proteger Berlín Occidental de una invasión","B) Evitar la 'fuga de cerebros' y mano de obra de Berlín Este hacia el Oeste","C) Servir como monumento a la paz","D) Marcar el límite del sector francés",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La 'Doctrina Brezhnev' (1968) establecía que la URSS tenía derecho a intervenir militarmente en cualquier país del bloque socialista donde:","A) Hubiera elecciones libres","B) Se amenazara el sistema socialista","C) Se solicitara ayuda económica","D) Hubiera protestas pacíficas",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"El movimiento de 'Descolonización' se aceleró después de 1945 debido a factores como:","A) El fortalecimiento de los imperios europeos tras la guerra","B) El debilitamiento de las potencias coloniales europeas y el surgimiento de movimientos nacionalistas","C) La imposición de nuevas colonias por parte de EE.UU. y la URSS","D) La falta de interés en los recursos de las colonias",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"La independencia de la India en 1947 fue seguida por:","A) Una guerra civil prolongada","B) La partición en dos dominios: India y Pakistán","C) Su inmediata adhesión al bloque soviético","D) La formación de una federación con Ceilán",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"La 'Crisis de Suez' de 1956 enfrentó a Egipto contra una coalición formada por:","A) EE.UU., URSS y Francia","B) Israel, Gran Bretaña y Francia","C) India, Pakistán y China","D) Jordania, Siria e Irak",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"El concepto de 'Tercer Mundo' durante la Guerra Fría se refería a países que:","A) Pertenecían al bloque capitalista","B) Pertenecían al bloque comunista","C) No se alineaban formalmente con ninguno de los dos bloques","D) Eran antiguas colonias españolas",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"La política de 'Perestroika' (reestructuración) en la URSS de Gorbachov buscaba:","A) Reforzar la economía planificada centralmente","B) Introducir elementos de mercado y mayor autonomía empresarial","C) Revivir el estalinismo","D) Expandir el control soviético sobre Europa del Este",B,Historia Universal,"El mundo actual, La caída del bloque soviético"
"La 'Revolución de Terciopelo' en Checoslovaquia (1989) se caracterizó por ser:","A) Un golpe de estado militar violento","B) Una transición pacífica del comunismo a un sistema pluralista","C) Una invasión extranjera","D) Una guerra civil étnica",B,Historia Universal,"El mundo actual, La caída del bloque soviético"
"La disolución de la URSS en 1991 resultó en:","A) La formación de una confederación eslava","B) La creación de 15 repúblicas independientes","C) La anexión de todas las repúblicas por Rusia","D) La restauración del imperio zarista",B,Historia Universal,"El mundo actual, La caída del bloque soviético"
"El proceso de 'Globalización' en el mundo actual ha sido criticado por:","A) Promover el aislamiento cultural","B) Acelerar la desigualdad económica entre y dentro de los países","C) Reducir el intercambio comercial","D) Fortalecer el control estatal sobre la información",B,Historia Universal,"El mundo actual, La globalización económica y política"
"La 'Revolución Digital' ha transformado la sociedad actual principalmente a través de:","A) La mecanización de la agricultura","B) La difusión masiva de las tecnologías de la información y comunicación","C) El uso exclusivo de la energía de vapor","D) El fin del comercio internacional",B,Historia Universal,"El mundo actual, El desarrollo científico y tecnológico"
"Organizaciones como el Fondo Monetario Internacional (FMI) y el Banco Mundial son actores importantes en la globalización porque:","A) Controlan los gobiernos nacionales directamente","B) Establecen políticas económicas y conceden préstamos a países","C) Regulan el uso de internet a nivel mundial","D) Son organismos militares de la ONU",B,Historia Universal,"El mundo actual, La globalización económica y política"
"Los 'Estados fallidos' son un problema del mundo actual y se refieren a países donde:","A) El gobierno central ha perdido el control efectivo del territorio y no puede proveer servicios básicos","B) Hay democracias consolidadas","C) La economía está completamente planificada","D) No hay participación en organizaciones internacionales",A,Historia Universal,"El mundo actual, La globalización económica y política"
"El desarrollo de la inteligencia artificial y la robótica plantea desafíos éticos y sociales relacionados con:","A) La extinción de todas las especies animales","B) El futuro del empleo, la privacidad y la toma de decisiones autónomas","C) El retorno a una sociedad agraria","D) La prohibición de toda forma de máquina",B,Historia Universal,"El mundo actual, El desarrollo científico y tecnológico"
"¿Cuál de los siguientes es un desafío medioambiental global del mundo actual?","A) La disminución del intercambio cultural","B) El calentamiento global y el cambio climático","C) La falta de avances en medicina","D) La reducción de la población mundial",B,Historia Universal,"El mundo actual, La globalización económica y política"
"La 'Memoria histórica' se refiere a:","A) El estudio exclusivo de la genealogía","B) El proceso por el cual los grupos sociales construyen y disputan la interpretación del pasado","C) La capacidad individual de recordar fechas","D) Un archivo gubernamental secreto",B,Historia Universal,"La Historia, Definición y utilidad de la Historia"
"Una 'fuente oral' para un historiador podría ser:","A) Una ley parlamentaria impresa","B) Una entrevista grabada a un veterano de guerra","C) Una pintura rupestre","D) Un fósil humano",B,Historia Universal,"La Historia, Definición y utilidad de la Historia"
"El 'Siglo de las Luces' coincide aproximadamente con el siglo:","A) XV","B) XVI","C) XVII","D) XVIII",D,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"La 'Enciclopedia' de Diderot y D'Alembert tenía como objetivo:","A) Recopilar solo el conocimiento teológico aceptado","B) Difundir el conocimiento científico y racional, criticando supersticiones y abusos","C) Servir como manual de alquimia","D) Registrar exclusivamente la historia de la monarquía francesa",B,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"Antes de las revoluciones burguesas, la economía europea se basaba principalmente en:","A) El comercio electrónico","B) La agricultura y el sistema gremial artesanal","C) La industria pesada automatizada","D) El intercambio de criptomonedas",B,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
"La 'Ley de hierro de los salarios' de David Ricardo sostenía que:","A) Los salarios siempre suben con la inflación","B) Los salarios tienden a estabilizarse al nivel de subsistencia del trabajador","C) El Estado debe fijar los salarios mínimos","D) Los salarios deben ser abolidos",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"El 'Estado gendarme' en el liberalismo clásico era aquel que:","A) Controlaba todos los medios de producción","B) Solo se encargaba de la seguridad interna, defensa y justicia","C) Proveía educación y salud gratuita para todos","D) Planificaba la economía centralmente",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"El 'Manifiesto de los Persas' (1814) en España fue un documento que representaba:","A) Las ideas liberales de las Cortes de Cádiz","B) La postura absolutista y conservadora de Fernando VII","C) El programa del primer partido socialista español","D) Una declaración independentista americana",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"La 'AIT' (Asociación Internacional de Trabajadores), fundada en 1864, es también conocida como:","A) La Segunda Internacional","B) La Tercera Internacional","C) La Primera Internacional","D) La Internacional Socialista",C,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"La 'plusvalía', concepto central en el marxismo, se refiere a:","A) El valor añadido por el comerciante","B) La ganancia que obtiene el capitalista de la diferencia entre el valor creado por el trabajador y su salario","C) El aumento en el precio de las acciones","D) El impuesto sobre la renta",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"El 'irredentismo' italiano del siglo XIX se refería al deseo de anexar territorios considerados italianos bajo dominio extranjero, como:","A) Cerdeña y Sicilia","B) Trieste y Trentino","C) Córcega y Malta","D) Los Balcanes",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
